id_city,id_state,variable,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
Cheyenne WY,WY,precipitation,0.35,0.52,0.96,1.79,2.44,2.16,2.11,1.52,1.47,1.0,0.61,0.48
Atlanta GA,GA,daily_max,54,58.2,65.9,73.8,81.1,87.1,90.1,89.0,83.9,74.4,64.1,56.2
Atlanta GA,GA,daily_mean,44.8,48.5,55.6,63.2,71.2,77.9,80.9,80.2,74.9,64.7,54.2,47.3
Atlanta GA,GA,precipitation,4.59,4.55,4.68,3.81,3.56,4.54,4.75,4.3,3.82,3.28,3.98,4.57
Savannah GA,GA,daily_max,61.4,65.1,71.4,78.2,84.7,89.6,92.3,90.8,86.4,79.0,70.2,63.7
Savannah GA,GA,daily_mean,50.7,54.0,60.0,66.7,74.1,80.1,83.0,82.1,77.7,68.8,59.1,53.2
Savannah GA,GA,precipitation,3.28,2.8,3.5,3.39,3.62,6.65,5.75,5.46,4.35,3.72,2.39,3.21
Honolulu HI,HI,daily_max,80.5,80.5,81.2,83.1,84.8,86.9,88.1,88.8,88.4,86.9,84.1,81.8
Honolulu HI,HI,daily_mean,73.6,73.8,74.7,76.6,78.2,80.3,81.6,82.2,81.6,80.4,78.0,75.5
Honolulu HI,HI,precipitation,1.84,1.94,2.36,0.77,0.82,0.5,0.52,0.84,0.88,1.51,2.25,2.18
Davenport IA,IA,daily_max,29.9,34.4,48.3,61.4,72.5,81.3,83.8,82.0,76.2,63.4,48.3,35.1
Davenport IA,IA,daily_mean,21.9,26.3,38.6,50.3,61.7,71.1,73.7,71.7,64.6,52.5,39.2,27.6
Davenport IA,IA,precipitation,1.14,1.44,2.34,3.61,4.82,4.73,4.07,3.96,3.47,2.7,2.25,1.64
Des Moines IA,IA,daily_max,30.9,35.7,49.2,62.0,72.4,81.9,85.6,83.6,76.9,63.4,48.3,35.9
Des Moines IA,IA,daily_mean,22.3,26.9,39.4,51.3,62.4,72.2,76.0,73.9,66.2,53.2,39.3,27.7
Des Moines IA,IA,precipitation,1.08,1.34,2.17,4.02,5.24,5.26,3.82,4.17,3.18,2.78,1.91,1.58
Boise ID,ID,daily_max,38.8,46.0,55.5,62.3,72.3,81.4,92.7,90.7,80.0,64.8,48.8,38.8
Boise ID,ID,daily_mean,32.2,37.5,45.2,50.9,59.9,67.8,77.3,75.8,66.3,53.2,40.3,32.1
Boise ID,ID,precipitation,1.41,1.0,1.33,1.23,1.45,0.75,0.21,0.17,0.43,0.81,1.18,1.54
Coeur d'Alene ID,ID,daily_max,34.5,39.5,48.6,56.9,67.1,73.7,84.4,83.8,73.6,57.7,42.3,33.8
Coeur d'Alene ID,ID,daily_mean,29.6,32.9,40.0,47.0,56.0,62.3,71.0,70.3,61.1,47.9,36.3,29.1
Coeur d'Alene ID,ID,precipitation,1.97,1.44,1.83,1.25,1.55,1.17,0.42,0.47,0.58,1.37,2.06,2.34
Chicago IL,IL,daily_max,32.8,36.8,47.9,60.0,71.5,81.2,85.2,83.1,76.5,63.7,49.6,37.7
Chicago IL,IL,daily_mean,26.2,29.9,39.9,50.9,61.9,71.9,76.7,75.0,67.8,55.3,42.4,31.5
Chicago IL,IL,precipitation,2.3,2.12,2.66,4.15,4.75,4.53,4.02,4.1,3.33,3.86,2.73,2.33
Springfield IL,IL,daily_max,35.9,41.1,53.1,65.6,75.7,84.0,86.8,85.4,80.2,67.4,52.7,40.7
Springfield IL,IL,daily_mean,27.9,32.4,43.2,54.4,65.1,73.7,76.5,74.9,68.0,56.0,43.5,32.9
Springfield IL,IL,precipitation,2.03,1.93,2.76,3.97,4.52,4.61,3.85,3.37,2.86,3.26,2.71,2.15
Indianapolis IN,IN,daily_max,36.1,40.8,51.9,63.9,73.4,82.0,85.2,84.3,78.2,65.6,51.8,40.4
Indianapolis IN,IN,daily_mean,28.5,32.5,42.4,53.6,63.6,72.5,75.8,74.7,67.8,55.5,43.3,33.3
Indianapolis IN,IN,precipitation,3.12,2.43,3.69,4.34,4.75,4.95,4.42,3.2,3.14,3.22,3.45,2.92
Topeka KS,KS,daily_max,40.4,45.7,57.1,67.0,76.4,85.8,90.2,88.9,81.0,68.9,55.2,43.8
Topeka KS,KS,daily_mean,30.2,34.9,45.6,55.5,65.7,75.5,79.8,77.9,69.2,57.0,44.2,33.9
Topeka KS,KS,precipitation,0.89,1.31,2.25,3.81,5.17,4.92,3.99,4.55,3.52,2.85,1.78,1.49
Wichita KS,KS,daily_max,43.9,48.9,59.1,68.3,77.5,87.9,92.6,91.0,83.3,70.8,57.0,45.8
Wichita KS,KS,daily_mean,33.2,37.6,47.4,56.5,66.7,76.9,81.5,79.9,71.7,59.0,45.8,35.6
Wichita KS,KS,precipitation,0.85,1.2,2.3,3.1,5.17,4.93,3.98,4.3,3.05,2.85,1.36,1.22
Frankfort KY,KY,daily_max,43.1,47.6,57.2,68.5,76.7,84.7,87.6,87.1,81.1,69.5,56.7,46.8
Frankfort KY,KY,daily_mean,34.1,37.8,46.2,56.7,65.5,73.7,77.2,76.1,69.2,57.6,46.1,38.1
Frankfort KY,KY,precipitation,3.27,3.4,4.72,4.55,5.1,4.34,4.69,3.15,3.35,3.64,3.36,3.77
Louisville KY,KY,daily_max,43.6,48.3,58.1,69.6,77.8,85.7,89.0,88.4,82.2,70.5,57.6,47.2
Louisville KY,KY,daily_mean,35.7,39.5,48.4,59.0,68.3,76.4,79.9,78.9,72.0,60.3,48.5,39.6
Louisville KY,KY,precipitation,3.39,3.41,4.6,4.8,5.18,4.27,4.05,3.71,3.66,3.72,3.42,4.13
Baton Rouge LA,LA,daily_max,62.3,66.6,73.0,79.1,85.8,90.5,91.9,92.2,88.7,80.9,71.0,64.3
Baton Rouge LA,LA,daily_mean,52,55.9,62.0,68.0,75.5,81.0,82.9,82.8,78.8,69.5,59.4,53.8
Baton Rouge LA,LA,precipitation,6.36,4.42,4.46,5.08,5.23,6.45,5.09,6.37,4.42,4.84,3.9,5.32
New Orleans LA,LA,daily_max,62.5,66.4,72.3,78.5,85.3,90.0,91.4,91.3,88.1,80.6,71.2,64.8
New Orleans LA,LA,daily_mean,54.3,58.0,63.8,70.1,77.1,82.4,83.9,84.0,80.8,72.5,62.4,56.6
New Orleans LA,LA,precipitation,5.18,4.13,4.36,5.22,5.64,7.62,6.79,6.91,5.11,3.7,3.87,4.82
Boston MA,MA,daily_max,36.8,39.0,45.5,56.4,66.5,76.2,82.1,80.4,73.1,62.1,51.6,42.2
Boston MA,MA,daily_mean,29.9,31.8,38.3,48.6,58.4,68.0,74.1,72.7,65.6,54.8,44.7,35.7
Boston MA,MA,precipitation,3.39,3.21,4.17,3.63,3.25,3.89,3.27,3.23,3.56,4.03,3.66,4.3
Annapolis MD,MD,daily_max,43.1,45.2,53.1,63.7,73.0,81.5,86.0,83.7,77.4,67.1,56.2,47.2
Annapolis MD,MD,daily_mean,36.5,38.4,45.7,55.4,65.1,74.6,79.0,77.1,71.1,59.7,49.3,40.6
Annapolis MD,MD,precipitation,2.84,2.38,3.8,3.38,3.15,4.04,4.94,4.27,5.14,4.04,3.03,2.98
Baltimore MD,MD,daily_max,43.7,46.8,55.2,66.8,75.9,85.4,90.1,87.3,80.4,68.8,57.6,48
Baltimore MD,MD,daily_mean,36.9,39.4,46.9,57.5,67.0,76.6,81.5,79.1,72.5,60.7,50.1,41.3
Baltimore MD,MD,precipitation,3.07,2.75,3.93,3.55,3.39,3.36,4.71,4.35,4.49,3.49,2.98,3.66
Augusta ME,ME,daily_max,28.8,31.9,40.6,53.5,65.8,74.4,79.9,78.9,70.9,57.9,45.7,34.7
Augusta ME,ME,daily_mean,20.4,23.2,32.0,43.8,55.3,64.2,70.1,68.9,61.0,49.2,38.0,27.2
Augusta ME,ME,precipitation,2.62,2.32,3.21,3.82,3.27,4.01,3.2,3.41,3.9,4.69,3.95,3.44
Portland ME,ME,daily_max,32.4,35.0,42.3,53.8,64.2,73.6,79.5,78.7,71.1,59.5,48.4,38.3
Portland ME,ME,daily_mean,24,26.2,34.1,44.6,54.9,64.3,70.4,69.2,61.6,50.3,40.0,30.3
Portland ME,ME,precipitation,3.5,3.54,4.08,4.41,3.67,4.15,3.43,3.57,3.77,5.25,4.25,4.5
Detroit MI,MI,daily_max,32.3,35.2,45.9,58.7,70.3,79.7,83.7,81.4,74.4,62.0,48.6,37.2
Detroit MI,MI,daily_mean,25.8,28.0,37.2,48.9,60.3,69.9,74.1,72.3,64.9,53.0,41.2,31.3
Detroit MI,MI,precipitation,2.23,2.08,2.43,3.26,3.72,3.26,3.51,3.26,3.22,2.53,2.57,2.25
Grand Rapids MI,MI,daily_max,31,33.7,44.5,57.8,69.8,79.4,83.1,80.9,73.9,60.7,47.2,36.1
Grand Rapids MI,MI,daily_mean,24.8,26.6,35.7,47.6,59.2,68.9,72.8,71.1,63.5,51.5,40.0,30.4
Grand Rapids MI,MI,precipitation,2.52,2.12,2.39,3.99,4.0,3.94,3.86,3.55,3.43,4.02,3.1,2.48
Lansing MI,MI,daily_max,30.6,33.5,44.4,57.6,69.4,78.9,82.8,80.6,73.6,60.5,47.0,35.7
Lansing MI,MI,daily_mean,23.9,25.9,35.2,47.0,58.4,68.0,71.8,70.0,62.5,50.8,39.5,29.5
Lansing MI,MI,precipitation,2.06,1.71,2.13,3.26,3.66,3.76,2.94,3.48,2.81,3.16,2.46,1.9
Minneapolis MN,MN,daily_max,23.6,28.5,41.7,56.6,69.2,79.0,83.4,80.7,72.9,58.1,41.9,28.8
Minneapolis MN,MN,daily_mean,16.2,20.6,33.3,47.1,59.5,69.7,74.3,71.8,63.5,49.5,34.8,22
Minneapolis MN,MN,precipitation,0.89,0.87,1.68,2.91,3.91,4.58,4.06,4.34,3.02,2.58,1.61,1.17
Jefferson City MO,MO,daily_max,39.6,45.1,55.5,66.6,75.2,83.9,88.0,87.2,79.9,68.5,55.1,44
Jefferson City MO,MO,daily_mean,30.3,34.9,44.6,55.2,64.9,74.1,78.3,76.9,69.0,57.2,45.0,34.9
Jefferson City MO,MO,precipitation,2.21,2.3,3.24,4.78,5.17,4.2,4.35,4.13,4.24,3.44,3.24,2.3
Kansas City MO,MO,daily_max,39.9,45.1,56.6,66.8,76.2,85.8,90.2,88.6,80.4,68.2,54.5,43.9
Kansas City MO,MO,daily_mean,31,35.8,46.4,56.5,66.7,76.5,81.0,79.2,70.7,58.4,45.4,35.3
Kansas City MO,MO,precipitation,1.02,1.53,2.08,3.89,5.1,5.33,4.38,4.68,3.78,3.24,1.8,1.3
St Louis MO,MO,daily_max,40.4,45.8,56.6,68.0,77.1,85.9,89.6,88.3,81.1,69.2,55.5,44.5
St Louis MO,MO,daily_mean,32.1,36.7,46.6,57.5,67.5,76.5,80.4,78.8,71.0,59.1,46.5,36.5
St Louis MO,MO,precipitation,2.59,2.23,3.5,4.73,4.82,4.49,3.93,3.38,2.96,3.15,3.42,2.5
Jackson MS,MS,daily_max,57.4,62.0,69.4,76.5,83.8,89.9,92.1,92.2,87.8,78.3,67.2,59.6
Jackson MS,MS,daily_mean,47,50.9,57.9,64.9,72.9,79.6,82.1,81.8,76.9,66.2,55.4,49.1
Jackson MS,MS,precipitation,5.42,5.1,5.68,5.84,4.36,4.43,5.02,4.69,3.48,3.8,4.4,5.13
Billings MT,MT,daily_max,36,39.2,49.0,56.9,66.9,77.0,87.3,85.8,74.3,58.8,45.7,36.1
Billings MT,MT,daily_mean,27,29.4,38.0,45.8,55.3,64.7,73.3,71.6,61.4,47.9,36.2,27.6
Billings MT,MT,precipitation,0.55,0.57,0.9,1.72,2.36,2.22,1.22,0.87,1.36,1.37,0.6,0.57
Bozeman MT,MT,daily_max,34.2,36.8,46.1,54.5,63.2,71.7,82.1,81.3,71.4,57.3,42.3,33.3
Bozeman MT,MT,daily_mean,24.6,26.7,35.0,42.5,51.0,58.6,66.9,65.6,56.9,44.9,32.3,23.9
Bozeman MT,MT,precipitation,0.86,0.83,1.42,2.51,2.93,3.27,1.33,1.32,1.44,1.84,1.25,1.03
Helena MT,MT,daily_max,32.4,37.2,47.5,56.7,66.4,74.7,86.1,84.6,73.3,57.6,42.8,32.6
Helena MT,MT,daily_mean,23,27.2,36.1,44.5,53.9,61.7,70.6,68.8,58.9,45.5,32.8,23.4
Helena MT,MT,precipitation,0.39,0.42,0.52,1.02,1.95,2.21,1.06,1.04,0.96,0.78,0.59,0.46
Charlotte NC,NC,daily_max,52.3,56.6,64.2,73.2,80.1,86.9,90.3,88.6,82.8,73.3,62.9,54.9
Charlotte NC,NC,daily_mean,42.1,45.7,52.7,61.1,69.0,76.6,80.1,78.6,72.7,61.9,51.4,44.7
Charlotte NC,NC,precipitation,3.49,3.13,3.95,3.84,3.36,3.99,3.74,4.35,3.71,3.16,3.31,3.57
Raleigh NC,NC,daily_max,51.9,55.8,63.3,72.7,80.0,87.4,90.8,88.7,82.5,73.0,63.0,54.7
Raleigh NC,NC,daily_mean,41.9,45.0,51.8,60.8,68.8,76.7,80.5,78.8,72.6,61.7,51.5,44.6
Raleigh NC,NC,precipitation,3.43,2.78,4.1,3.53,3.58,3.89,5.02,4.71,5.15,3.37,3.32,3.39
Portland OR,OR,daily_max,47.5,51.5,56.8,62.0,69.3,74.3,81.9,82.3,76.7,64.4,53.5,46.9
Portland OR,OR,daily_mean,41.9,44.1,48.3,52.8,59.4,64.2,70.2,70.6,65.4,55.6,47.1,41.6
Portland OR,OR,precipitation,5.03,3.68,3.97,2.89,2.51,1.63,0.51,0.54,1.52,3.42,5.45,5.77
Salem OR,OR,daily_max,48.4,52.1,56.8,61.6,69.0,74.6,83.5,83.6,77.5,64.8,53.6,47.4
Salem OR,OR,daily_mean,42.1,44.0,47.5,51.3,57.7,62.7,69.3,69.2,64.0,54.3,46.3,41.3
Salem OR,OR,precipitation,6.08,4.54,4.35,3.12,2.25,1.25,0.25,0.39,1.46,3.47,5.95,6.97
San Juan PR,PR,daily_max,83.2,83.8,84.7,86.2,87.4,89.0,88.7,89.1,89.2,88.6,86.1,84.2
San Juan PR,PR,daily_mean,77.6,77.8,78.6,80.1,81.6,83.1,83.1,83.5,83.4,82.7,80.5,78.8
San Juan PR,PR,precipitation,4.07,2.58,2.18,4.6,5.54,4.66,6.02,6.29,6.5,5.21,7.37,4.85
Austin TX,TX,daily_max,62.5,66.5,73.3,80.3,86.9,93.2,96.6,97.8,91.4,82.5,71.5,63.9
Austin TX,TX,daily_mean,52.2,56.1,62.8,69.6,76.8,83.0,85.8,86.5,80.8,71.6,61.0,53.6
Austin TX,TX,precipitation,2.64,1.89,2.88,2.42,5.04,3.68,1.96,2.74,3.45,3.91,2.92,2.72
Dallas TX,TX,daily_max,57.7,62.0,69.9,77.4,84.9,92.7,96.9,97.1,90.0,79.5,67.8,59.2
Dallas TX,TX,daily_mean,47.8,52.0,59.6,67.1,75.4,83.3,87.3,87.3,80.1,69.1,57.8,49.5
Dallas TX,TX,precipitation,2.59,2.78,3.45,3.15,4.57,3.83,2.54,2.31,3.1,4.79,2.93,3.23
Houston TX,TX,daily_max,63.8,67.8,74.0,80.1,86.9,92.3,94.5,94.9,90.4,82.8,72.6,65.3
Houston TX,TX,daily_mean,53.8,57.7,63.8,70.0,77.4,83.0,85.1,85.2,80.5,71.8,62.0,55.4
Houston TX,TX,precipitation,3.76,2.97,3.47,3.95,5.01,6.0,3.77,4.84,4.71,5.46,3.87,4.03
San Antonio TX,TX,daily_max,63.3,67.5,73.8,80.3,86.6,92.4,94.9,96.0,90.1,82.2,71.7,64.7
San Antonio TX,TX,daily_mean,52.2,56.3,62.8,69.4,76.5,82.6,84.8,85.5,79.9,71.3,60.7,53.5
San Antonio TX,TX,precipitation,1.96,1.74,2.31,2.42,4.4,3.28,2.41,2.15,3.88,3.75,2.08,2
Provo UT,UT,daily_max,41,47.5,58.3,65.5,75.5,87.0,95.0,92.7,82.9,68.4,53.0,41.2
Provo UT,UT,daily_mean,32.3,37.4,46.3,52.5,61.4,70.9,78.6,76.7,67.3,54.5,42.2,32.7
Provo UT,UT,precipitation,1.95,1.56,1.55,1.92,2.01,0.93,0.51,0.73,1.24,1.59,1.39,1.81
Bismarck ND,ND,daily_max,23.2,27.8,41.0,56.0,68.3,77.9,84.7,83.5,73.4,57.1,40.6,27.7
Bismarck ND,ND,daily_mean,12.8,17.5,30.1,43.2,55.3,65.4,71.3,69.6,59.7,44.8,29.9,17.9
Bismarck ND,ND,precipitation,0.48,0.52,0.84,1.34,2.5,3.36,3.07,2.5,1.72,1.43,0.69,0.6
Fargo ND,ND,daily_max,18.2,22.7,36.3,54.1,68.7,78.1,82.1,80.7,72.0,55.8,38.1,24
Fargo ND,ND,daily_mean,8.6,13.4,27.2,43.0,56.6,66.8,70.7,68.8,60.0,45.5,29.5,15.7
Fargo ND,ND,precipitation,0.71,0.69,1.25,1.54,3.09,4.29,3.07,2.6,2.68,2.17,0.97,0.89
Lincoln NE,NE,daily_max,35.6,40.6,53.6,64.8,75.0,85.2,89.4,87.2,80.1,66.6,51.7,39.4
Lincoln NE,NE,daily_mean,25,29.5,41.2,52.0,63.1,73.7,78.1,75.6,67.2,53.8,39.8,28.8
Lincoln NE,NE,precipitation,0.73,0.89,1.55,2.69,4.91,4.48,3.25,3.32,2.9,2.14,1.3,1.18
Omaha NE,NE,daily_max,33.6,38.6,52.1,64.1,74.6,84.4,88.1,85.8,79.1,65.5,50.3,37.7
Omaha NE,NE,daily_mean,24.4,28.9,41.0,52.6,63.6,73.9,78.1,75.7,67.6,54.4,40.2,28.7
Omaha NE,NE,precipitation,0.75,0.95,1.79,3.17,4.66,4.44,3.55,4.6,2.96,2.32,1.45,1.22
Concord NH,NH,daily_max,31.6,34.8,43.6,57.5,69.3,77.8,83.0,81.7,73.7,60.9,48.4,37.1
Concord NH,NH,daily_mean,22.3,24.7,33.4,45.4,56.7,65.8,71.1,69.5,61.4,49.3,38.6,28.3
Concord NH,NH,precipitation,2.8,2.75,3.28,3.43,3.47,3.77,3.62,3.63,3.63,4.43,3.44,3.7
Manchester NH,NH,daily_max,34.1,37.4,45.6,58.9,70.1,78.7,84.1,82.4,74.6,62.1,50.0,39.3
Manchester NH,NH,daily_mean,25.6,28.2,36.5,48.2,58.9,68.1,73.8,72.2,64.3,52.2,41.5,31.4
Manchester NH,NH,precipitation,2.44,2.73,3.45,3.33,3.38,4.04,3.3,3.35,3.72,3.88,3.48,3.29
Trenton NJ,NJ,daily_max,39.7,42.8,50.8,62.9,72.4,81.0,86.0,84.0,77.1,65.5,54.5,44.4
Trenton NJ,NJ,daily_mean,32,34.3,41.7,52.5,62.0,71.0,76.3,74.4,67.4,55.7,45.4,36.8
Trenton NJ,NJ,precipitation,3.29,2.63,3.97,3.63,3.99,4.25,4.39,4.22,4.09,3.79,3.18,4.04
Albuquerque NM,NM,daily_max,48.4,54.1,62.8,70.3,79.9,90.4,91.2,88.8,82.5,70.6,57.3,47.3
Albuquerque NM,NM,daily_mean,37.4,41.9,49.5,56.8,66.1,76.1,78.9,76.9,70.3,58.4,45.7,36.9
Albuquerque NM,NM,precipitation,0.36,0.43,0.46,0.51,0.44,0.57,1.64,1.31,1.15,0.87,0.57,0.53
Santa Fe NM,NM,daily_max,43,48.0,56.6,64.3,73.7,84.1,85.8,83.4,77.5,66.3,53.0,42.6
Santa Fe NM,NM,daily_mean,30.4,34.7,41.5,48.3,57.3,67.1,70.5,68.6,62.1,50.8,38.7,30.1
Santa Fe NM,NM,precipitation,0.55,0.49,0.74,0.6,0.89,0.87,2.26,2.04,1.39,1.34,0.79,0.83
Taos NM,NM,daily_max,42.1,46.4,55.2,63.0,72.9,83.7,86.5,84.2,78.1,67.0,53.1,42.4
Taos NM,NM,daily_mean,27.1,32.9,40.2,46.8,55.0,65.5,69.6,67.7,61.4,49.7,37.8,28
Taos NM,NM,precipitation,0.67,0.45,0.71,0.83,1.22,0.86,1.53,1.77,1.37,1.34,0.88,1.07
Carson City NV,NV,daily_max,45.5,49.5,56.2,61.7,70.4,80.9,89.5,87.8,80.7,68.0,54.5,44.6
Carson City NV,NV,daily_mean,34.8,38.3,43.9,48.8,56.6,65.0,72.1,70.2,63.1,52.2,41.4,34.2
Carson City NV,NV,precipitation,1.72,1.48,1.24,0.51,0.51,0.37,0.18,0.14,0.24,0.55,0.9,1.5
Las Vegas NV,NV,daily_max,58.5,62.9,71.1,78.5,88.5,99.4,104.5,102.8,94.9,81.2,67.1,56.9
Las Vegas NV,NV,daily_mean,49.5,53.5,60.8,67.7,77.3,87.6,93.2,91.7,83.6,70.4,57.2,48.2
Las Vegas NV,NV,precipitation,0.56,0.8,0.42,0.2,0.07,0.04,0.38,0.32,0.32,0.32,0.3,0.45
Albany NY,NY,daily_max,32.8,36.0,45.3,59.2,71.2,79.4,83.9,82.0,74.4,61.6,49.3,38.2
Albany NY,NY,daily_mean,24.4,26.8,35.7,48.1,59.6,68.4,73.1,71.4,63.5,51.4,40.5,30.4
Albany NY,NY,precipitation,2.6,2.28,3.09,3.11,3.41,4.05,4.55,3.76,3.73,3.85,2.99,3.26
Buffalo NY,NY,daily_max,32.1,33.3,41.8,54.7,67.4,75.6,80.2,79.0,72.3,59.6,47.8,37.2
Buffalo NY,NY,daily_mean,25.5,26.4,34.1,45.6,57.9,66.9,71.7,70.4,63.4,51.7,41.0,31.4
Buffalo NY,NY,precipitation,3.35,2.49,2.89,3.37,3.37,3.37,3.23,3.23,4.1,4.03,3.5,3.75
New York NY,NY,daily_max,39.5,42.2,49.9,61.8,71.4,79.7,84.9,83.3,76.2,64.5,54.0,44.3
New York NY,NY,daily_mean,33.7,35.9,42.8,53.7,63.2,72.0,77.5,76.1,69.2,57.9,48.0,39.1
New York NY,NY,precipitation,3.64,3.19,4.29,4.09,3.96,4.54,4.6,4.56,4.31,4.38,3.58,4.38
Rochester NY,NY,daily_max,33.4,35.2,43.6,55.5,69.4,77.9,82.5,80.5,73.6,61.2,49.1,38.5
Rochester NY,NY,daily_mean,26.2,27.4,35.2,46.8,58.8,67.6,72.3,70.7,63.6,52.2,41.5,32
Rochester NY,NY,precipitation,2.55,2.13,2.49,2.99,2.86,3.37,3.56,3.31,3.18,3.22,2.76,2.67
Cincinnati OH,OH,daily_max,39.6,43.7,53.5,65.5,74.5,82.6,86.0,85.2,78.9,66.7,53.8,43.3
Cincinnati OH,OH,daily_mean,31.4,34.7,43.6,54.6,64.1,72.3,75.9,74.9,68.1,56.2,44.4,35.6
Cincinnati OH,OH,precipitation,3.3,3.17,4.16,4.53,4.67,4.75,3.83,3.43,3.11,3.35,3.23,3.73
Cleveland OH,OH,daily_max,35.8,38.5,47.1,60.1,71.1,79.8,83.7,82.0,75.6,63.7,51.3,40.4
Cleveland OH,OH,daily_mean,29.1,31.1,38.9,50.4,61.2,70.4,74.5,73.0,66.4,55.1,44.0,34.3
Cleveland OH,OH,precipitation,2.99,2.49,3.06,3.75,3.79,3.83,3.67,3.56,3.93,3.6,3.37,2.99
